District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Sindhupalchowk,Bagmati,Mountain,Central,2070/71,2013/14,Others,0
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Stool Test,4932
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Occult blood,2499
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Reducing sugar,8
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Urine test,18392
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Bile salts,0
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Bile Pigments,0
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Urobili nogen,1115
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Porpho bilinogen,1
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Acetone,10
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Chyle,2
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Semen Analysis,79
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Bence John's Protein,0
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Specific gravity,2
Kavre,Bagmati,Hill,Central,2070/71,2013/14,Others,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Stool Test,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Occult blood,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Reducing sugar,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Urine test,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Bile salts,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Bile Pigments,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Urobili nogen,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Porpho bilinogen,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Acetone,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Chyle,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Semen Analysis,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Bence John's Protein,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Specific gravity,0
Lalitpur,Bagmati,Hill,Central,2070/71,2013/14,Others,0
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Stool Test,4253
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Occult blood,578
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Reducing sugar,13
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Urine test,8752
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Bile salts,0
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Bile Pigments,0
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Urobili nogen,0
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Porpho bilinogen,0
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Acetone,180
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Chyle,0
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Semen Analysis,50
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Bence John's Protein,1
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Specific gravity,0
Bhaktapur ,Bagmati,Hill,Central,2070/71,2013/14,Others,97
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Stool Test,127228
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Occult blood,13776
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Reducing sugar,8507
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Urine test,330949
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Bile salts,4760
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Bile Pigments,5227
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Urobili nogen,5173
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Porpho bilinogen,985
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Acetone,5137
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Chyle,992
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Semen Analysis,4816
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Bence John's Protein,389
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Specific gravity,6784
Kathmandu,Bagmati,Hill,Central,2070/71,2013/14,Others,107
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Stool Test,2053
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Occult blood,287
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Reducing sugar,85
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Urine test,5292
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Bile salts,0
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Bile Pigments,50
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Urobili nogen,0
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Porpho bilinogen,0
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Acetone,0
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Chyle,0
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Semen Analysis,98
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Bence John's Protein,0
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Specific gravity,0
Nuwakot,Bagmati,Hill,Central,2070/71,2013/14,Others,0
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Stool Test,113
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Occult blood,5
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Reducing sugar,0
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Urine test,530
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Bile salts,3
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Bile Pigments,0
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Urobili nogen,0
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Porpho bilinogen,0
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Acetone,0
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Chyle,0
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Semen Analysis,6
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Bence John's Protein,0
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Specific gravity,0
Rasuwa,Bagmati,Mountain,Central,2070/71,2013/14,Others,0
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Stool Test,4088
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Occult blood,560
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Reducing sugar,1286
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Urine test,13205
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Bile salts,0
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Bile Pigments,0
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Urobili nogen,0
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Porpho bilinogen,0
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Acetone,7
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Chyle,0
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Semen Analysis,115
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Bence John's Protein,0
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Specific gravity,295
Dhading,Bagmati,Hill,Central,2070/71,2013/14,Others,7
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Stool Test,1910
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Occult blood,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Reducing sugar,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Urine test,2680
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Bile salts,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Bile Pigments,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Urobili nogen,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Porpho bilinogen,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Acetone,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Chyle,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Semen Analysis,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Bence John's Protein,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Specific gravity,0
Makawanpur,Narayani,Hill,Central,2070/71,2013/14,Others,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Stool Test,187
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Occult blood,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Reducing sugar,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Urine test,2338
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Bile salts,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Bile Pigments,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Urobili nogen,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Porpho bilinogen,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Acetone,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Chyle,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Semen Analysis,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Bence John's Protein,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Specific gravity,0
Rautahat,Narayani,Terai,Central,2070/71,2013/14,Others,0
Bara,Narayani,Terai,Central,2070/71,2013/14,Stool Test,501
