District,Year,Visit,Age group,Number of women
Humla,2066/67,First Visit,< 20 Year,661
Humla,2066/67,First Visit,> or equal 20 Years,2321
Humla,2066/67,Fourth Visit,Four Time Visits,1425
Jajarkot,2066/67,First Visit,< 20 Year,1480
Jajarkot,2066/67,First Visit,> or equal 20 Years,3523
Jajarkot,2066/67,Fourth Visit,Four Time Visits,2253
Jumla,2066/67,First Visit,< 20 Year,1523
Jumla,2066/67,First Visit,> or equal 20 Years,3455
Jumla,2066/67,Fourth Visit,Four Time Visits,1509
Kalikot,2066/67,First Visit,< 20 Year,1093
Kalikot,2066/67,First Visit,> or equal 20 Years,3332
Kalikot,2066/67,Fourth Visit,Four Time Visits,923
Mugu,2066/67,First Visit,< 20 Year,608
Mugu,2066/67,First Visit,> or equal 20 Years,1350
Mugu,2066/67,Fourth Visit,Four Time Visits,554
Pyuthan,2066/67,First Visit,< 20 Year,1513
Pyuthan,2066/67,First Visit,> or equal 20 Years,5177
Pyuthan,2066/67,Fourth Visit,Four Time Visits,3595
Rolpa,2066/67,First Visit,< 20 Year,1356
Rolpa,2066/67,First Visit,> or equal 20 Years,4318
Rolpa,2066/67,Fourth Visit,Four Time Visits,2535
Rukum,2066/67,First Visit,< 20 Year,2226
Rukum,2066/67,First Visit,> or equal 20 Years,3994
Rukum,2066/67,Fourth Visit,Four Time Visits,2375
Salyan,2066/67,First Visit,< 20 Year,1696
Salyan,2066/67,First Visit,> or equal 20 Years,4176
Salyan,2066/67,Fourth Visit,Four Time Visits,2224
Surkhet,2066/67,First Visit,< 20 Year,3658
Surkhet,2066/67,First Visit,> or equal 20 Years,7484
Surkhet,2066/67,Fourth Visit,Four Time Visits,6732
Achham,2066/67,First Visit,< 20 Year,1671
Achham,2066/67,First Visit,> or equal 20 Years,7248
Achham,2066/67,Fourth Visit,Four Time Visits,5399
Baitadi,2066/67,First Visit,< 20 Year,1389
Baitadi,2066/67,First Visit,> or equal 20 Years,5530
Baitadi,2066/67,Fourth Visit,Four Time Visits,2626
Bajhang,2066/67,First Visit,< 20 Year,1196
Bajhang,2066/67,First Visit,> or equal 20 Years,4555
Bajhang,2066/67,Fourth Visit,Four Time Visits,2010
Bajura,2066/67,First Visit,< 20 Year,629
Bajura,2066/67,First Visit,> or equal 20 Years,3202
Bajura,2066/67,Fourth Visit,Four Time Visits,1030
Dadeldhura,2066/67,First Visit,< 20 Year,1107
Dadeldhura,2066/67,First Visit,> or equal 20 Years,4626
Dadeldhura,2066/67,Fourth Visit,Four Time Visits,4053
Darchula,2066/67,First Visit,< 20 Year,725
Darchula,2066/67,First Visit,> or equal 20 Years,2651
Darchula,2066/67,Fourth Visit,Four Time Visits,2287
Doti,2066/67,First Visit,< 20 Year,1438
Doti,2066/67,First Visit,> or equal 20 Years,5608
Doti,2066/67,Fourth Visit,Four Time Visits,2879
Kailali,2066/67,First Visit,< 20 Year,2609
Kailali,2066/67,First Visit,> or equal 20 Years,11360
Kailali,2066/67,Fourth Visit,Four Time Visits,7128
Kanchanpur,2066/67,First Visit,< 20 Year,1943
Kanchanpur,2066/67,First Visit,> or equal 20 Years,7929
Kanchanpur,2066/67,Fourth Visit,Four Time Visits,4694
Taplejung,2067/68,First Visit,< 20 Year,593
Taplejung,2067/68,First Visit,> or equal 20 Years,2377
Taplejung,2067/68,Fourth Visit,Four Time Visits,1571
Panchthar,2067/68,First Visit,< 20 Year,618
Panchthar,2067/68,First Visit,> or equal 20 Years,3241
Panchthar,2067/68,Fourth Visit,Four Time Visits,2114
Ilam,2067/68,First Visit,< 20 Year,1229
Ilam,2067/68,First Visit,> or equal 20 Years,4137
Ilam,2067/68,Fourth Visit,Four Time Visits,3405
Jhapa,2067/68,First Visit,< 20 Year,4709
Jhapa,2067/68,First Visit,> or equal 20 Years,19418
Jhapa,2067/68,Fourth Visit,Four Time Visits,15896
Morang,2067/68,First Visit,< 20 Year,4986
Morang,2067/68,First Visit,> or equal 20 Years,19059
Morang,2067/68,Fourth Visit,Four Time Visits,12210
Sunsari,2067/68,First Visit,< 20 Year,3640
Sunsari,2067/68,First Visit,> or equal 20 Years,13816
Sunsari,2067/68,Fourth Visit,Four Time Visits,9693
Dhankuta,2067/68,First Visit,< 20 Year,560
Dhankuta,2067/68,First Visit,> or equal 20 Years,2769
Dhankuta,2067/68,Fourth Visit,Four Time Visits,1895
Teharthum,2067/68,First Visit,< 20 Year,448
Teharthum,2067/68,First Visit,> or equal 20 Years,1574
Teharthum,2067/68,Fourth Visit,Four Time Visits,1008
Sankhuwasabha,2067/68,First Visit,< 20 Year,747
Sankhuwasabha,2067/68,First Visit,> or equal 20 Years,2514
Sankhuwasabha,2067/68,Fourth Visit,Four Time Visits,1498
Bhojpur,2067/68,First Visit,< 20 Year,610
Bhojpur,2067/68,First Visit,> or equal 20 Years,2614
Bhojpur,2067/68,Fourth Visit,Four Time Visits,1430
Solukhumbu,2067/68,First Visit,< 20 Year,450
Solukhumbu,2067/68,First Visit,> or equal 20 Years,2398
Solukhumbu,2067/68,Fourth Visit,Four Time Visits,2332
Okhaldhunga,2067/68,First Visit,< 20 Year,625
Okhaldhunga,2067/68,First Visit,> or equal 20 Years,2449
Okhaldhunga,2067/68,Fourth Visit,Four Time Visits,1477
Khotang,2067/68,First Visit,< 20 Year,981
Khotang,2067/68,First Visit,> or equal 20 Years,3699
Khotang,2067/68,Fourth Visit,Four Time Visits,3269
Udaypur,2067/68,First Visit,< 20 Year,1249
Udaypur,2067/68,First Visit,> or equal 20 Years,5123
Udaypur,2067/68,Fourth Visit,Four Time Visits,3894
Saptari,2067/68,First Visit,< 20 Year,1991
Saptari,2067/68,First Visit,> or equal 20 Years,16009
Saptari,2067/68,Fourth Visit,Four Time Visits,12463
Siraha,2067/68,First Visit,< 20 Year,3212
Siraha,2067/68,First Visit,> or equal 20 Years,15523
Siraha,2067/68,Fourth Visit,Four Time Visits,11753
Dhanusha,2067/68,First Visit,< 20 Year,4969
Dhanusha,2067/68,First Visit,> or equal 20 Years,15194
Dhanusha,2067/68,Fourth Visit,Four Time Visits,9491
Mahottari,2067/68,First Visit,< 20 Year,3140
Mahottari,2067/68,First Visit,> or equal 20 Years,15759
Mahottari,2067/68,Fourth Visit,Four Time Visits,14849
Sarlahi,2067/68,First Visit,< 20 Year,5050
Sarlahi,2067/68,First Visit,> or equal 20 Years,15564
Sarlahi,2067/68,Fourth Visit,Four Time Visits,7816
Sindhuli,2067/68,First Visit,< 20 Year,894
Sindhuli,2067/68,First Visit,> or equal 20 Years,3942
Sindhuli,2067/68,Fourth Visit,Four Time Visits,2147
Ramechhap,2067/68,First Visit,< 20 Year,707
Ramechhap,2067/68,First Visit,> or equal 20 Years,2991
Ramechhap,2067/68,Fourth Visit,Four Time Visits,2524
Dolkha,2067/68,First Visit,< 20 Year,884
Dolkha,2067/68,First Visit,> or equal 20 Years,3937
Dolkha,2067/68,Fourth Visit,Four Time Visits,2557
Sindhupalchowk,2067/68,First Visit,< 20 Year,964
Sindhupalchowk,2067/68,First Visit,> or equal 20 Years,4128
Sindhupalchowk,2067/68,Fourth Visit,Four Time Visits,2326
Kavre,2067/68,First Visit,< 20 Year,1710
Kavre,2067/68,First Visit,> or equal 20 Years,8349
Kavre,2067/68,Fourth Visit,Four Time Visits,5241
Lalitpur,2067/68,First Visit,< 20 Year,1099
Lalitpur,2067/68,First Visit,> or equal 20 Years,12753
Lalitpur,2067/68,Fourth Visit,Four Time Visits,9747
Bhaktapur,2067/68,First Visit,< 20 Year,810
Bhaktapur,2067/68,First Visit,> or equal 20 Years,2955
Bhaktapur,2067/68,Fourth Visit,Four Time Visits,1781
Kathmandu,2067/68,First Visit,< 20 Year,5684
Kathmandu,2067/68,First Visit,> or equal 20 Years,26434
Kathmandu,2067/68,Fourth Visit,Four Time Visits,23550
Nuwakot,2067/68,First Visit,< 20 Year,1271
Nuwakot,2067/68,First Visit,> or equal 20 Years,3788
Nuwakot,2067/68,Fourth Visit,Four Time Visits,2166
Rasuwa,2067/68,First Visit,< 20 Year,175
Rasuwa,2067/68,First Visit,> or equal 20 Years,671
Rasuwa,2067/68,Fourth Visit,Four Time Visits,557
Dhading,2067/68,First Visit,< 20 Year,2123
Dhading,2067/68,First Visit,> or equal 20 Years,6169
Dhading,2067/68,Fourth Visit,Four Time Visits,4885
Makawanpur,2067/68,First Visit,< 20 Year,1842
Makawanpur,2067/68,First Visit,> or equal 20 Years,5907
Makawanpur,2067/68,Fourth Visit,Four Time Visits,3991
Rautahat,2067/68,First Visit,< 20 Year,3329
Rautahat,2067/68,First Visit,> or equal 20 Years,15625
Rautahat,2067/68,Fourth Visit,Four Time Visits,11060
Bara,2067/68,First Visit,< 20 Year,3598
