District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator 1,Indicator 2,Indicator 3,Value
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PF Imported.4,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PF Imported.5,Total,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Indigenous.5,Total,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Imported.4,Total,Female,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,PM Imported.5,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Indigenous.4,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Indigenous.5,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,1
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Imported.4,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PF Imported.5,Total,Male,1
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Indigenous.5,Total,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Imported.4,Total,Female,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,PM Imported.5,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Indigenous.4,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Indigenous.5,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Imported.4,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PF Imported.5,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Indigenous.5,Total,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Imported.4,Total,Female,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,PM Imported.5,Total,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.4,Total,Female,2
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.5,Total,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.4,Total,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.5,Total,Male,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.5,Total,Male,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.4,Total,Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.5,Total,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.4,Total,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.5,Total,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.4,Total,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.5,Total,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.5,Total,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.4,Total,Female,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.5,Total,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.4,Total,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Indigenous.5,Total,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.4,Total,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PF Imported.5,Total,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Indigenous.5,Total,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.4,Total,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2069/70,2012/13,PM Imported.5,Total,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.4,Total,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.5,Total,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.4,Total,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.5,Total,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.5,Total,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.4,Total,Female,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.5,Total,Male,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,6
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,3
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.4,Total,Female,6
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Indigenous.5,Total,Male,3
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,2
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.4,Total,Female,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PF Imported.5,Total,Male,2
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,1
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,1
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.4,Total,Female,1
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Indigenous.5,Total,Male,1
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.4,Total,Female,0
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,PM Imported.5,Total,Male,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,1
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,2
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.4,Total,Female,1
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.5,Total,Male,2
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,2
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.4,Total,Female,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.5,Total,Male,2
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.5,Total,Male,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,13
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,15
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.4,Total,Female,13
Dhanusha,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.5,Total,Male,15
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,1
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.4,Total,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.5,Total,Male,1
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,2
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.4,Total,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.5,Total,Male,2
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.5,Total,Male,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,3
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,0
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.4,Total,Female,3
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.5,Total,Male,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,2
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,4
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.4,Total,Female,2
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Indigenous.5,Total,Male,4
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,1
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,2
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.4,Total,Female,1
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PF Imported.5,Total,Male,2
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.1,Under 5 Years,Male,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.2,5 Years & Above,Female,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.3,5 Years & Above,Male,1
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.4,Total,Female,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Indigenous.5,Total,Male,1
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Imported,Under 5 Years,Female,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.1,Under 5 Years,Male,0
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.2,5 Years & Above,Female,2
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.3,5 Years & Above,Male,8
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.4,Total,Female,2
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,PM Imported.5,Total,Male,8
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Indigenous,Under 5 Years,Female,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Indigenous.1,Under 5 Years,Male,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Indigenous.2,5 Years & Above,Female,1
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Indigenous.3,5 Years & Above,Male,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Indigenous.4,Total,Female,1
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Indigenous.5,Total,Male,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Imported,Under 5 Years,Female,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Imported.1,Under 5 Years,Male,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Imported.2,5 Years & Above,Female,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Imported.3,5 Years & Above,Male,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Imported.4,Total,Female,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PF Imported.5,Total,Male,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,PM Indigenous,Under 5 Years,Female,0
