District,Zone,Geographical Region,Development Region,Year BS,Year AD,Delivery type,Number of delivery
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,"Spontaneous
Delivery",1598
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Vacuum Delivery,69
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Forcep Delivery,4
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,C/S Delivery,18
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,"Spontaneous
Delivery",866
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Vacuum Delivery,1
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Forcep Delivery,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,C/S Delivery,21
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,"Spontaneous
Delivery",980
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,Vacuum Delivery,27
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,Forcep Delivery,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,C/S Delivery,16
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,"Spontaneous
Delivery",1223
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,Vacuum Delivery,55
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,Forcep Delivery,13
Okhaldhunga,Sagarmatha,Hill,Eastern,2069/70,2012/13,C/S Delivery,80
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,"Spontaneous
Delivery",1354
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,Vacuum Delivery,12
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,Forcep Delivery,0
Khotang,Sagarmatha,Hill,Eastern,2069/70,2012/13,C/S Delivery,32
Udayapur,Sagarmatha,Hill,Eastern,2069/70,2012/13,"Spontaneous
Delivery",2707
Udayapur,Sagarmatha,Hill,Eastern,2069/70,2012/13,Vacuum Delivery,109
Udayapur,Sagarmatha,Hill,Eastern,2069/70,2012/13,Forcep Delivery,5
Udayapur,Sagarmatha,Hill,Eastern,2069/70,2012/13,C/S Delivery,67
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,"Spontaneous
Delivery",6905
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,Vacuum Delivery,8
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,Forcep Delivery,0
Saptari,Sagarmatha,Terai,Eastern,2069/70,2012/13,C/S Delivery,534
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,"Spontaneous
Delivery",9636
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,Vacuum Delivery,506
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,Forcep Delivery,13
Siraha,Sagarmatha,Terai,Eastern,2069/70,2012/13,C/S Delivery,494
Dhanusa,Janakpur,Terai,Central,2069/70,2012/13,"Spontaneous
Delivery",222
Dhanusa,Janakpur,Terai,Central,2069/70,2012/13,Vacuum Delivery,1
Dhanusa,Janakpur,Terai,Central,2069/70,2012/13,Forcep Delivery,0
Dhanusa,Janakpur,Terai,Central,2069/70,2012/13,C/S Delivery,9
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,"Spontaneous
Delivery",4393
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,Vacuum Delivery,127
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,Forcep Delivery,113
Mahottari,Janakpur,Terai,Central,2069/70,2012/13,C/S Delivery,38
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,"Spontaneous
Delivery",7092
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,Vacuum Delivery,207
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,Forcep Delivery,1
Sarlahi,Janakpur,Terai,Central,2069/70,2012/13,C/S Delivery,28
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,"Spontaneous
Delivery",2001
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,Vacuum Delivery,4
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,Forcep Delivery,0
Sindhuli,Janakpur,Hill,Central,2069/70,2012/13,C/S Delivery,0
Ramechhap,Janakpur,Hill,Central,2069/70,2012/13,"Spontaneous
Delivery",1748
Ramechhap,Janakpur,Hill,Central,2069/70,2012/13,Vacuum Delivery,11
Ramechhap,Janakpur,Hill,Central,2069/70,2012/13,Forcep Delivery,1
Ramechhap,Janakpur,Hill,Central,2069/70,2012/13,C/S Delivery,0
Dolakha,Janakpur,Mountain,Central,2069/70,2012/13,"Spontaneous
Delivery",1143
Dolakha,Janakpur,Mountain,Central,2069/70,2012/13,Vacuum Delivery,38
Dolakha,Janakpur,Mountain,Central,2069/70,2012/13,Forcep Delivery,40
Dolakha,Janakpur,Mountain,Central,2069/70,2012/13,C/S Delivery,74
Sindhupalchok,Bagmati,Mountain,Central,2069/70,2012/13,"Spontaneous
Delivery",1501
Sindhupalchok,Bagmati,Mountain,Central,2069/70,2012/13,Vacuum Delivery,22
Sindhupalchok,Bagmati,Mountain,Central,2069/70,2012/13,Forcep Delivery,0
Sindhupalchok,Bagmati,Mountain,Central,2069/70,2012/13,C/S Delivery,14
Kavre,Bagmati,Hill,Central,2069/70,2012/13,"Spontaneous
Delivery",4323
Kavre,Bagmati,Hill,Central,2069/70,2012/13,Vacuum Delivery,89
Kavre,Bagmati,Hill,Central,2069/70,2012/13,Forcep Delivery,53
Kavre,Bagmati,Hill,Central,2069/70,2012/13,C/S Delivery,1050
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,"Spontaneous
Delivery",0
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,Vacuum Delivery,0
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,Forcep Delivery,0
Lalitpur,Bagmati,Hill,Central,2069/70,2012/13,C/S Delivery,4288
Bhaktapur,Bagmati,Hill,Central,2069/70,2012/13,"Spontaneous
Delivery",333
Bhaktapur,Bagmati,Hill,Central,2069/70,2012/13,Vacuum Delivery,8
Bhaktapur,Bagmati,Hill,Central,2069/70,2012/13,Forcep Delivery,2
Bhaktapur,Bagmati,Hill,Central,2069/70,2012/13,C/S Delivery,44
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,"Spontaneous
Delivery",16857
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,Vacuum Delivery,632
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,Forcep Delivery,31
Kathmandu,Bagmati,Hill,Central,2069/70,2012/13,C/S Delivery,7297
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,"Spontaneous
Delivery",1323
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,Vacuum Delivery,84
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,Forcep Delivery,17
Nuwakot,Bagmati,Hill,Central,2069/70,2012/13,C/S Delivery,291
Rasuwa,Bagmati,Mountain,Central,2069/70,2012/13,"Spontaneous
Delivery",277
Rasuwa,Bagmati,Mountain,Central,2069/70,2012/13,Vacuum Delivery,0
Rasuwa,Bagmati,Mountain,Central,2069/70,2012/13,Forcep Delivery,0
Rasuwa,Bagmati,Mountain,Central,2069/70,2012/13,C/S Delivery,0
Dhading,Bagmati,Hill,Central,2069/70,2012/13,"Spontaneous
Delivery",3367
Dhading,Bagmati,Hill,Central,2069/70,2012/13,Vacuum Delivery,16
Dhading,Bagmati,Hill,Central,2069/70,2012/13,Forcep Delivery,0
Dhading,Bagmati,Hill,Central,2069/70,2012/13,C/S Delivery,4
Makwanpur,Narayani,Hill,Central,2069/70,2012/13,"Spontaneous
Delivery",2644
Makwanpur,Narayani,Hill,Central,2069/70,2012/13,Vacuum Delivery,13
Makwanpur,Narayani,Hill,Central,2069/70,2012/13,Forcep Delivery,9
Makwanpur,Narayani,Hill,Central,2069/70,2012/13,C/S Delivery,30
Rautahat,Narayani,Terai,Central,2069/70,2012/13,"Spontaneous
Delivery",3920
Rautahat,Narayani,Terai,Central,2069/70,2012/13,Vacuum Delivery,124
Rautahat,Narayani,Terai,Central,2069/70,2012/13,Forcep Delivery,0
Rautahat,Narayani,Terai,Central,2069/70,2012/13,C/S Delivery,12
Bara,Narayani,Terai,Central,2069/70,2012/13,"Spontaneous
Delivery",6415
Bara,Narayani,Terai,Central,2069/70,2012/13,Vacuum Delivery,53
Bara,Narayani,Terai,Central,2069/70,2012/13,Forcep Delivery,8
Bara,Narayani,Terai,Central,2069/70,2012/13,C/S Delivery,95
Parsa,Narayani,Terai,Central,2069/70,2012/13,"Spontaneous
Delivery",0
Parsa,Narayani,Terai,Central,2069/70,2012/13,Vacuum Delivery,0
Parsa,Narayani,Terai,Central,2069/70,2012/13,Forcep Delivery,0
Parsa,Narayani,Terai,Central,2069/70,2012/13,C/S Delivery,28
Chitawan,Narayani,Terai,Central,2069/70,2012/13,"Spontaneous
Delivery",9907
Chitawan,Narayani,Terai,Central,2069/70,2012/13,Vacuum Delivery,438
Chitawan,Narayani,Terai,Central,2069/70,2012/13,Forcep Delivery,14
Chitawan,Narayani,Terai,Central,2069/70,2012/13,C/S Delivery,2990
Gorkha,Gandaki,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",1930
Gorkha,Gandaki,Hill,Western,2069/70,2012/13,Vacuum Delivery,23
Gorkha,Gandaki,Hill,Western,2069/70,2012/13,Forcep Delivery,0
Gorkha,Gandaki,Hill,Western,2069/70,2012/13,C/S Delivery,81
Lamjung,Gandaki,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",1591
Lamjung,Gandaki,Hill,Western,2069/70,2012/13,Vacuum Delivery,42
Lamjung,Gandaki,Hill,Western,2069/70,2012/13,Forcep Delivery,2
Lamjung,Gandaki,Hill,Western,2069/70,2012/13,C/S Delivery,80
Tanahu,Gandaki,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",1641
Tanahu,Gandaki,Hill,Western,2069/70,2012/13,Vacuum Delivery,49
Tanahu,Gandaki,Hill,Western,2069/70,2012/13,Forcep Delivery,0
Tanahu,Gandaki,Hill,Western,2069/70,2012/13,C/S Delivery,5
Syangja,Gandaki,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",1805
Syangja,Gandaki,Hill,Western,2069/70,2012/13,Vacuum Delivery,18
Syangja,Gandaki,Hill,Western,2069/70,2012/13,Forcep Delivery,0
Syangja,Gandaki,Hill,Western,2069/70,2012/13,C/S Delivery,0
Kaski,Gandaki,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",9969
Kaski,Gandaki,Hill,Western,2069/70,2012/13,Vacuum Delivery,207
Kaski,Gandaki,Hill,Western,2069/70,2012/13,Forcep Delivery,51
Kaski,Gandaki,Hill,Western,2069/70,2012/13,C/S Delivery,3033
Manang,Gandaki,Mountain,Western,2069/70,2012/13,"Spontaneous
Delivery",5
Manang,Gandaki,Mountain,Western,2069/70,2012/13,Vacuum Delivery,0
Manang,Gandaki,Mountain,Western,2069/70,2012/13,Forcep Delivery,0
Manang,Gandaki,Mountain,Western,2069/70,2012/13,C/S Delivery,0
Mustang,Dhawalagiri,Mountain,Western,2069/70,2012/13,"Spontaneous
Delivery",44
Mustang,Dhawalagiri,Mountain,Western,2069/70,2012/13,Vacuum Delivery,0
Mustang,Dhawalagiri,Mountain,Western,2069/70,2012/13,Forcep Delivery,0
Mustang,Dhawalagiri,Mountain,Western,2069/70,2012/13,C/S Delivery,0
Myagdi,Dhawalagiri,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",1067
Myagdi,Dhawalagiri,Hill,Western,2069/70,2012/13,Vacuum Delivery,0
Myagdi,Dhawalagiri,Hill,Western,2069/70,2012/13,Forcep Delivery,0
Myagdi,Dhawalagiri,Hill,Western,2069/70,2012/13,C/S Delivery,0
Parbat,Dhawalagiri,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",1292
Parbat,Dhawalagiri,Hill,Western,2069/70,2012/13,Vacuum Delivery,13
Parbat,Dhawalagiri,Hill,Western,2069/70,2012/13,Forcep Delivery,0
Parbat,Dhawalagiri,Hill,Western,2069/70,2012/13,C/S Delivery,0
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",2395
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,Vacuum Delivery,70
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,Forcep Delivery,1
Baglung,Dhawalagiri,Hill,Western,2069/70,2012/13,C/S Delivery,82
Gulmi,Lumbini,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",2895
Gulmi,Lumbini,Hill,Western,2069/70,2012/13,Vacuum Delivery,23
Gulmi,Lumbini,Hill,Western,2069/70,2012/13,Forcep Delivery,2
Gulmi,Lumbini,Hill,Western,2069/70,2012/13,C/S Delivery,78
Palpa,Lumbini,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",3008
Palpa,Lumbini,Hill,Western,2069/70,2012/13,Vacuum Delivery,242
Palpa,Lumbini,Hill,Western,2069/70,2012/13,Forcep Delivery,59
Palpa,Lumbini,Hill,Western,2069/70,2012/13,C/S Delivery,520
Nawalparasi,Lumbini,Terai,Western,2069/70,2012/13,"Spontaneous
Delivery",3645
Nawalparasi,Lumbini,Terai,Western,2069/70,2012/13,Vacuum Delivery,34
Nawalparasi,Lumbini,Terai,Western,2069/70,2012/13,Forcep Delivery,12
Nawalparasi,Lumbini,Terai,Western,2069/70,2012/13,C/S Delivery,20
Rupandehi,Lumbini,Terai,Western,2069/70,2012/13,"Spontaneous
Delivery",0
Rupandehi,Lumbini,Terai,Western,2069/70,2012/13,Vacuum Delivery,0
Rupandehi,Lumbini,Terai,Western,2069/70,2012/13,Forcep Delivery,0
Rupandehi,Lumbini,Terai,Western,2069/70,2012/13,C/S Delivery,3907
Kapilbastu,Lumbini,Terai,Western,2069/70,2012/13,"Spontaneous
Delivery",1782
Kapilbastu,Lumbini,Terai,Western,2069/70,2012/13,Vacuum Delivery,0
Kapilbastu,Lumbini,Terai,Western,2069/70,2012/13,Forcep Delivery,0
Kapilbastu,Lumbini,Terai,Western,2069/70,2012/13,C/S Delivery,2
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,"Spontaneous
Delivery",1047
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,Vacuum Delivery,63
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,Forcep Delivery,6
Arghakhanchi,Lumbini,Hill,Western,2069/70,2012/13,C/S Delivery,6
Pyuthan,Rapti,Hill,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",1841
Pyuthan,Rapti,Hill,Mid-Western,2069/70,2012/13,Vacuum Delivery,0
Pyuthan,Rapti,Hill,Mid-Western,2069/70,2012/13,Forcep Delivery,0
Pyuthan,Rapti,Hill,Mid-Western,2069/70,2012/13,C/S Delivery,0
Rolpa,Rapti,Hill,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",1881
Rolpa,Rapti,Hill,Mid-Western,2069/70,2012/13,Vacuum Delivery,6
Rolpa,Rapti,Hill,Mid-Western,2069/70,2012/13,Forcep Delivery,1
Rolpa,Rapti,Hill,Mid-Western,2069/70,2012/13,C/S Delivery,0
Rukum,Rapti,Hill,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",1538
Rukum,Rapti,Hill,Mid-Western,2069/70,2012/13,Vacuum Delivery,100
Rukum,Rapti,Hill,Mid-Western,2069/70,2012/13,Forcep Delivery,25
Rukum,Rapti,Hill,Mid-Western,2069/70,2012/13,C/S Delivery,73
Salyan,Rapti,Hill,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",2000
Salyan,Rapti,Hill,Mid-Western,2069/70,2012/13,Vacuum Delivery,9
Salyan,Rapti,Hill,Mid-Western,2069/70,2012/13,Forcep Delivery,2
Salyan,Rapti,Hill,Mid-Western,2069/70,2012/13,C/S Delivery,15
Dang,Rapti,Terai,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",6852
Dang,Rapti,Terai,Mid-Western,2069/70,2012/13,Vacuum Delivery,194
Dang,Rapti,Terai,Mid-Western,2069/70,2012/13,Forcep Delivery,134
Dang,Rapti,Terai,Mid-Western,2069/70,2012/13,C/S Delivery,323
Banke,Bheri,Terai,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",6655
Banke,Bheri,Terai,Mid-Western,2069/70,2012/13,Vacuum Delivery,490
Banke,Bheri,Terai,Mid-Western,2069/70,2012/13,Forcep Delivery,33
Banke,Bheri,Terai,Mid-Western,2069/70,2012/13,C/S Delivery,1374
Bardiya,Bheri,Terai,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",4922
Bardiya,Bheri,Terai,Mid-Western,2069/70,2012/13,Vacuum Delivery,15
Bardiya,Bheri,Terai,Mid-Western,2069/70,2012/13,Forcep Delivery,0
Bardiya,Bheri,Terai,Mid-Western,2069/70,2012/13,C/S Delivery,0
Surkhet,Bheri,Hill,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",5738
Surkhet,Bheri,Hill,Mid-Western,2069/70,2012/13,Vacuum Delivery,133
Surkhet,Bheri,Hill,Mid-Western,2069/70,2012/13,Forcep Delivery,8
Surkhet,Bheri,Hill,Mid-Western,2069/70,2012/13,C/S Delivery,491
Dailekh,Bheri,Hill,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",4605
Dailekh,Bheri,Hill,Mid-Western,2069/70,2012/13,Vacuum Delivery,8
Dailekh,Bheri,Hill,Mid-Western,2069/70,2012/13,Forcep Delivery,2
Dailekh,Bheri,Hill,Mid-Western,2069/70,2012/13,C/S Delivery,7
Jajarkot,Bheri,Hill,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",1376
Jajarkot,Bheri,Hill,Mid-Western,2069/70,2012/13,Vacuum Delivery,3
Jajarkot,Bheri,Hill,Mid-Western,2069/70,2012/13,Forcep Delivery,1
Jajarkot,Bheri,Hill,Mid-Western,2069/70,2012/13,C/S Delivery,0
Dolpa,Karnali,Mountain,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",220
Dolpa,Karnali,Mountain,Mid-Western,2069/70,2012/13,Vacuum Delivery,4
Dolpa,Karnali,Mountain,Mid-Western,2069/70,2012/13,Forcep Delivery,3
Dolpa,Karnali,Mountain,Mid-Western,2069/70,2012/13,C/S Delivery,1
Jumla,Karnali,Mountain,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",675
Jumla,Karnali,Mountain,Mid-Western,2069/70,2012/13,Vacuum Delivery,9
Jumla,Karnali,Mountain,Mid-Western,2069/70,2012/13,Forcep Delivery,0
Jumla,Karnali,Mountain,Mid-Western,2069/70,2012/13,C/S Delivery,2
Kalikot,Karnali,Mountain,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",1304
Kalikot,Karnali,Mountain,Mid-Western,2069/70,2012/13,Vacuum Delivery,17
Kalikot,Karnali,Mountain,Mid-Western,2069/70,2012/13,Forcep Delivery,0
Kalikot,Karnali,Mountain,Mid-Western,2069/70,2012/13,C/S Delivery,25
Mugu,Karnali,Mountain,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",585
Mugu,Karnali,Mountain,Mid-Western,2069/70,2012/13,Vacuum Delivery,6
Mugu,Karnali,Mountain,Mid-Western,2069/70,2012/13,Forcep Delivery,0
Mugu,Karnali,Mountain,Mid-Western,2069/70,2012/13,C/S Delivery,0
Humla,Karnali,Mountain,Mid-Western,2069/70,2012/13,"Spontaneous
Delivery",1091
Humla,Karnali,Mountain,Mid-Western,2069/70,2012/13,Vacuum Delivery,18
Humla,Karnali,Mountain,Mid-Western,2069/70,2012/13,Forcep Delivery,0
Humla,Karnali,Mountain,Mid-Western,2069/70,2012/13,C/S Delivery,0
Bajura,Seti,Mountain,Far-Western,2069/70,2012/13,"Spontaneous
Delivery",1412
Bajura,Seti,Mountain,Far-Western,2069/70,2012/13,Vacuum Delivery,3
Bajura,Seti,Mountain,Far-Western,2069/70,2012/13,Forcep Delivery,0
Bajura,Seti,Mountain,Far-Western,2069/70,2012/13,C/S Delivery,0
Bajhang,Seti,Mountain,Far-Western,2069/70,2012/13,"Spontaneous
Delivery",2642
Bajhang,Seti,Mountain,Far-Western,2069/70,2012/13,Vacuum Delivery,18
Bajhang,Seti,Mountain,Far-Western,2069/70,2012/13,Forcep Delivery,36
Bajhang,Seti,Mountain,Far-Western,2069/70,2012/13,C/S Delivery,10
Achham,Seti,Hill,Far-Western,2069/70,2012/13,"Spontaneous
Delivery",3307
Achham,Seti,Hill,Far-Western,2069/70,2012/13,Vacuum Delivery,18
Achham,Seti,Hill,Far-Western,2069/70,2012/13,Forcep Delivery,0
Achham,Seti,Hill,Far-Western,2069/70,2012/13,C/S Delivery,31
Doti,Seti,Hill,Far-Western,2069/70,2012/13,"Spontaneous
Delivery",2728
Doti,Seti,Hill,Far-Western,2069/70,2012/13,Vacuum Delivery,63
Doti,Seti,Hill,Far-Western,2069/70,2012/13,Forcep Delivery,1
Doti,Seti,Hill,Far-Western,2069/70,2012/13,C/S Delivery,62
Kailali,Seti,Terai,Far-Western,2069/70,2012/13,"Spontaneous
Delivery",9561
Kailali,Seti,Terai,Far-Western,2069/70,2012/13,Vacuum Delivery,394
Kailali,Seti,Terai,Far-Western,2069/70,2012/13,Forcep Delivery,1
Kailali,Seti,Terai,Far-Western,2069/70,2012/13,C/S Delivery,729
Kanchanpur,Mahakali,Terai,Far-Western,2069/70,2012/13,"Spontaneous
Delivery",5724
Kanchanpur,Mahakali,Terai,Far-Western,2069/70,2012/13,Vacuum Delivery,51
Kanchanpur,Mahakali,Terai,Far-Western,2069/70,2012/13,Forcep Delivery,1
Kanchanpur,Mahakali,Terai,Far-Western,2069/70,2012/13,C/S Delivery,90
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,"Spontaneous
Delivery",2017
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,Vacuum Delivery,120
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,Forcep Delivery,47
Dadeldhura,Mahakali,Hill,Far-Western,2069/70,2012/13,C/S Delivery,87
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,"Spontaneous
Delivery",2036
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,Vacuum Delivery,30
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,Forcep Delivery,11
Baitadi,Mahakali,Hill,Far-Western,2069/70,2012/13,C/S Delivery,86
Darchaula,Mahakali,Mountain,Far-Western,2069/70,2012/13,"Spontaneous
Delivery",1349
Darchaula,Mahakali,Mountain,Far-Western,2069/70,2012/13,Vacuum Delivery,11
Darchaula,Mahakali,Mountain,Far-Western,2069/70,2012/13,Forcep Delivery,2
Darchaula,Mahakali,Mountain,Far-Western,2069/70,2012/13,C/S Delivery,4
