District,Zone,Geographical Region,Development Region,Year BS,Year AD,Delivery type,Number of delivery
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Spontaneous delivery,1502
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Vaccum delivery,76
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Forecep delivery,20
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,C/S Delivery,159
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Spontaneous delivery,1834
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Vaccum delivery,6
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Forecep delivery,2
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,C/S Delivery,4
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Spontaneous delivery,7483
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Vaccum delivery,212
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Forecep delivery,40
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,C/S Delivery,182
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Spontaneous delivery,8918
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Vaccum delivery,731
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Forecep delivery,39
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,C/S Delivery,1566
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Spontaneous delivery,5100
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Vaccum delivery,7
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Forecep delivery,0
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,C/S Delivery,4
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Spontaneous delivery,5893
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Vaccum delivery,143
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Forecep delivery,8
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,C/S Delivery,431
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Spontaneous delivery,4453
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Vaccum delivery,9
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Forecep delivery,7
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,C/S Delivery,25
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Spontaneous delivery,1501
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Vaccum delivery,6
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Forecep delivery,0
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,C/S Delivery,0
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Spontaneous delivery,205
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Vaccum delivery,7
