Date AD,,Variables,Values
6-Mar,Bhaktapur,Head Number,5
6-Mar,Bhaktapur,Filter Number,B125 
6-Mar,Bhaktapur,PM10(æg/m?),135
7-Mar,Putalisadak,Head Number,5
7-Mar,Putalisadak,Filter Number,P139 
7-Mar,Putalisadak,PM10(æg/m?),188
7-Mar,Machhe Gaun,Head Number,7
7-Mar,Machhe Gaun,Filter Number,M139 
7-Mar,Machhe Gaun,PM10(æg/m?),47
7-Mar,Bhaktapur,Head Number,6
7-Mar,Bhaktapur,Filter Number,B126 
7-Mar,Bhaktapur,PM10(æg/m?),131
8-Mar,Putalisadak,Head Number,6
8-Mar,Putalisadak,Filter Number,P140 
8-Mar,Putalisadak,PM10(æg/m?),127
8-Mar,Machhe Gaun,Head Number,8
8-Mar,Machhe Gaun,Filter Number,M140 
8-Mar,Machhe Gaun,PM10(æg/m?),31
8-Mar,Bhaktapur,Head Number,7
8-Mar,Bhaktapur,Filter Number,B127 
8-Mar,Bhaktapur,PM10(æg/m?),125
9-Mar,Putalisadak,Head Number,7
9-Mar,Putalisadak,Filter Number,P141 
9-Mar,Putalisadak,PM10(æg/m?),162
9-Mar,Machhe Gaun,Head Number,1
9-Mar,Machhe Gaun,Filter Number,M141 
9-Mar,Machhe Gaun,PM10(æg/m?),39
9-Mar,Bhaktapur,Head Number,8
9-Mar,Bhaktapur,Filter Number,B128 
9-Mar,Bhaktapur,PM10(æg/m?),139
10-Mar,Putalisadak,Head Number,8
10-Mar,Putalisadak,Filter Number,P142 
10-Mar,Putalisadak,PM10(æg/m?),248
10-Mar,Machhe Gaun,Head Number,2
10-Mar,Machhe Gaun,Filter Number,M142 
10-Mar,Machhe Gaun,PM10(æg/m?),47
10-Mar,Bhaktapur,Head Number,1
10-Mar,Bhaktapur,Filter Number,B129 
10-Mar,Bhaktapur,PM10(æg/m?),133
11-Mar,Putalisadak,Head Number,1
11-Mar,Putalisadak,Filter Number,P143 
11-Mar,Putalisadak,PM10(æg/m?),337
11-Mar,Machhe Gaun,Head Number,3
11-Mar,Machhe Gaun,Filter Number,M143 
11-Mar,Machhe Gaun,PM10(æg/m?),85
11-Mar,Bhaktapur,Head Number,2
11-Mar,Bhaktapur,Filter Number,B130 
11-Mar,Bhaktapur,PM10(æg/m?),140
12-Mar,Putalisadak,Head Number,2
12-Mar,Putalisadak,Filter Number,P144 
12-Mar,Putalisadak,PM10(æg/m?),261
12-Mar,Machhe Gaun,Head Number,4
12-Mar,Machhe Gaun,Filter Number,M144 
12-Mar,Machhe Gaun,PM10(æg/m?),56
12-Mar,Bhaktapur,Head Number,3
12-Mar,Bhaktapur,Filter Number,B131 
12-Mar,Bhaktapur,PM10(æg/m?),152
13-Mar,Putalisadak,Head Number,3
13-Mar,Putalisadak,Filter Number,P145 
13-Mar,Putalisadak,PM10(æg/m?),247
13-Mar,Machhe Gaun,Head Number,5
13-Mar,Machhe Gaun,Filter Number,M145 
13-Mar,Machhe Gaun,PM10(æg/m?),63
13-Mar,Bhaktapur,Head Number,4
13-Mar,Bhaktapur,Filter Number,B132 
13-Mar,Bhaktapur,PM10(æg/m?),145
14-Mar,Putalisadak,Head Number,4
14-Mar,Putalisadak,Filter Number,P146 
14-Mar,Putalisadak,PM10(æg/m?),260
14-Mar,Machhe Gaun,Head Number,6
14-Mar,Machhe Gaun,Filter Number,M146 
14-Mar,Machhe Gaun,PM10(æg/m?),77
14-Mar,Bhaktapur,Head Number,5
14-Mar,Bhaktapur,Filter ,B133 
14-Mar,Bhaktapur,PM10(æg/m?),135
