District,zone,belt,region,Year BS,Year AD,Visit,Age group,Number of women,Zone,Belt,Region
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,First Visit,< 20 Year,1055,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,First Visit,> or equal 20 Years,4920,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,2698,Mahakali,Hill,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,First Visit,< 20 Year,697,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,First Visit,> or equal 20 Years,2633,Mahakali,Mountain,Far-Western
Darchaula,Mahakali,Mountain,Far-Western,2067/68,2010/11,Fourth Visit,Four Time Visits,2063,Mahakali,Mountain,Far-Western
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,First Visit,< 20 Year,598,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,2338,Mechi,Mountain,Eastern
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,1705,Mechi,Mountain,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,First Visit,< 20 Year,744,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,3476,Mechi,Hill,Eastern
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,2441,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,First Visit,< 20 Year,1426,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,3805,Mechi,Hill,Eastern
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,3273,Mechi,Hill,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,First Visit,< 20 Year,5406,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,14869,Mechi,Terai,Eastern
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,10034,Mechi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,First Visit,< 20 Year,6070,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,20099,Kosi,Terai,Eastern
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,11473,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,First Visit,< 20 Year,3622,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,12981,Kosi,Terai,Eastern
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,8976,Kosi,Terai,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,First Visit,< 20 Year,604,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,2739,Kosi,Hill,Eastern
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,2001,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,First Visit,< 20 Year,476,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,1508,Kosi,Hill,Eastern
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,1025,Kosi,Hill,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,First Visit,< 20 Year,822,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,2340,Kosi,Mountain,Eastern
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,1534,Kosi,Mountain,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,First Visit,< 20 Year,756,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,2543,Kosi,Hill,Eastern
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,1568,Kosi,Hill,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,First Visit,< 20 Year,563,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,2193,Sagarmatha,Mountain,Eastern
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,1734,Sagarmatha,Mountain,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,First Visit,< 20 Year,617,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,2317,Sagarmatha,Hill,Eastern
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,1619,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,First Visit,< 20 Year,1051,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,3859,Sagarmatha,Hill,Eastern
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,2929,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,First Visit,< 20 Year,1436,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,5509,Sagarmatha,Hill,Eastern
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,3891,Sagarmatha,Hill,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,First Visit,< 20 Year,1810,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,14185,Sagarmatha,Terai,Eastern
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,11826,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,First Visit,< 20 Year,2580,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,First Visit,> or equal 20 Years,13738,Sagarmatha,Terai,Eastern
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Fourth Visit,Four Time Visits,10500,Sagarmatha,Terai,Eastern
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,First Visit,< 20 Year,3865,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,First Visit,> or equal 20 Years,12590,Janakpur,Terai,Central
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,8242,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,First Visit,< 20 Year,3027,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,First Visit,> or equal 20 Years,13065,Janakpur,Terai,Central
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,13642,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,First Visit,< 20 Year,5618,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,First Visit,> or equal 20 Years,18065,Janakpur,Terai,Central
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,8508,Janakpur,Terai,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,First Visit,< 20 Year,1077,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,First Visit,> or equal 20 Years,3378,Janakpur,Hill,Central
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,1940,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,First Visit,< 20 Year,801,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,First Visit,> or equal 20 Years,2859,Janakpur,Hill,Central
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,2451,Janakpur,Hill,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,First Visit,< 20 Year,810,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,First Visit,> or equal 20 Years,3771,Janakpur,Mountain,Central
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,2555,Janakpur,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,First Visit,< 20 Year,945,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,First Visit,> or equal 20 Years,3654,Bagmati,Mountain,Central
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,2157,Bagmati,Mountain,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,First Visit,< 20 Year,2079,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,First Visit,> or equal 20 Years,7454,Bagmati,Hill,Central
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,5586,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,First Visit,< 20 Year,0,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,First Visit,> or equal 20 Years,13683,Bagmati,Hill,Central
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,10614,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,First Visit,< 20 Year,518,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,First Visit,> or equal 20 Years,2578,Bagmati,Hill,Central
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,1375,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,First Visit,< 20 Year,4460,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,First Visit,> or equal 20 Years,33897,Bagmati,Hill,Central
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,24141,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,First Visit,< 20 Year,1147,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,First Visit,> or equal 20 Years,3570,Bagmati,Hill,Central
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,2055,Bagmati,Hill,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,First Visit,< 20 Year,195,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,First Visit,> or equal 20 Years,778,Bagmati,Mountain,Central
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,526,Bagmati,Mountain,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,First Visit,< 20 Year,2108,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,First Visit,> or equal 20 Years,5740,Bagmati,Hill,Central
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,5083,Bagmati,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,First Visit,< 20 Year,1945,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,First Visit,> or equal 20 Years,5850,Narayani,Hill,Central
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,3827,Narayani,Hill,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,First Visit,< 20 Year,3894,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,First Visit,> or equal 20 Years,14988,Narayani,Terai,Central
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,11035,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,First Visit,< 20 Year,3255,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,First Visit,> or equal 20 Years,12940,Narayani,Terai,Central
Bara,Narayani,Terai,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,8950,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,First Visit,< 20 Year,0,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,First Visit,> or equal 20 Years,11896,Narayani,Terai,Central
Parsa,Narayani,Terai,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,7195,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,First Visit,< 20 Year,4134,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,First Visit,> or equal 20 Years,12361,Narayani,Terai,Central
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Fourth Visit,Four Time Visits,7610,Narayani,Terai,Central
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,1320,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,4363,Gandaki,Hill,Western
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,2697,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,1189,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,3939,Gandaki,Hill,Western
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,3421,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,1942,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,4444,Gandaki,Hill,Western
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,3473,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,1177,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,4410,Gandaki,Hill,Western
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,4159,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,3262,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,11242,Gandaki,Hill,Western
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,10091,Gandaki,Hill,Western
Manang,Gandaki,Mountain,Western,2068/69,2011/12,First Visit,< 20 Year,17,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2068/69,2011/12,First Visit,> or equal 20 Years,74,Gandaki,Mountain,Western
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,40,Gandaki,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,First Visit,< 20 Year,27,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,First Visit,> or equal 20 Years,190,Dhawalagiri,Mountain,Western
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,82,Dhawalagiri,Mountain,Western
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,658,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,1800,Dhawalagiri,Hill,Western
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,1874,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,655,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,2086,Dhawalagiri,Hill,Western
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,2334,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,1343,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,5108,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,4389,Dhawalagiri,Hill,Western
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,1339,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,5689,Lumbini,Hill,Western
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,5291,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,2084,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,7573,Lumbini,Hill,Western
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,3575,Lumbini,Hill,Western
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,First Visit,< 20 Year,2826,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,First Visit,> or equal 20 Years,11508,Lumbini,Terai,Western
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,8927,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,First Visit,< 20 Year,0,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,First Visit,> or equal 20 Years,29249,Lumbini,Terai,Western
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,18913,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,First Visit,< 20 Year,1480,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,First Visit,> or equal 20 Years,13556,Lumbini,Terai,Western
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,9123,Lumbini,Terai,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,First Visit,< 20 Year,859,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,First Visit,> or equal 20 Years,2659,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Fourth Visit,Four Time Visits,1964,Lumbini,Hill,Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,1443,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,4114,Rapti,Hill,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,2821,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,1096,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,2879,Rapti,Hill,Mid-Western
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,2556,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,2158,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,3682,Rapti,Hill,Mid-Western
Rukum,Rapti,Hill,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,2358,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,1786,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,3672,Rapti,Hill,Mid-Western
Salyan,Rapti,Hill,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,2513,Rapti,Hill,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,4300,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,8549,Rapti,Terai,Mid-Western
Dang,Rapti,Terai,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,7126,Rapti,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,2752,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,9652,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,5926,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,2582,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,6562,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,6084,Bheri,Terai,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,3297,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,6663,Bheri,Hill,Mid-Western
Surkhet,Bheri,Hill,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,6782,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,1903,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,5235,Bheri,Hill,Mid-Western
Dailekh,Bheri,Hill,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,4167,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,1401,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,3076,Bheri,Hill,Mid-Western
Jajarkot,Bheri,Hill,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,1889,Bheri,Hill,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,149,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,559,Karnali,Mountain,Mid-Western
Dolpa,Karnali,Mountain,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,277,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,1104,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,2503,Karnali,Mountain,Mid-Western
Jumla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,1559,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,939,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,3088,Karnali,Mountain,Mid-Western
Kalikot,Karnali,Mountain,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,1122,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,515,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,1362,Karnali,Mountain,Mid-Western
Mugu,Karnali,Mountain,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,733,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,< 20 Year,289,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,First Visit,> or equal 20 Years,1188,Karnali,Mountain,Mid-Western
Humla,Karnali,Mountain,Mid-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,862,Karnali,Mountain,Mid-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,First Visit,< 20 Year,507,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,First Visit,> or equal 20 Years,2462,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,906,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,First Visit,< 20 Year,1158,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,First Visit,> or equal 20 Years,4629,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,2938,Seti,Mountain,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,First Visit,< 20 Year,1444,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,First Visit,> or equal 20 Years,6180,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,4060,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,First Visit,< 20 Year,1143,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,First Visit,> or equal 20 Years,5549,Seti,Hill,Far-Western
Doti,Seti,Hill,Far-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,3160,Seti,Hill,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,First Visit,< 20 Year,3292,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,First Visit,> or equal 20 Years,10545,Seti,Terai,Far-Western
Kailali,Seti,Terai,Far-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,9254,Seti,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,First Visit,< 20 Year,1884,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,First Visit,> or equal 20 Years,7248,Mahakali,Terai,Far-Western
Kanchanpur,Mahakali,Terai,Far-Western,2068/69,2011/12,Fourth Visit,Four Time Visits,6029,Mahakali,Terai,Far-Western
Dadeldhura,Mahakali,Hill,Far-Western,2068/69,2011/12,First Visit,< 20 Year,1525,Mahakali,Hill,Far-Western
